"","0","1","2","3","4","5","6","7","8","9","10"
"2012-W52",0,1,0,0,0,0,0,0,0,0,0
"2013-W01",0,0,0,0,0,1,0,0,0,0,0
"2013-W02",0,0,0,0,0,0,0,0,0,0,0
"2013-W03",0,0,1,0,0,0,0,0,0,0,0
"2013-W04",0,0,0,0,0,0,0,0,0,0,0
"2013-W05",0,0,1,0,0,0,0,0,0,0,0
"2013-W06",0,0,1,0,0,0,0,0,0,0,0
"2013-W07",0,0,0,0,0,0,0,0,0,0,0
"2013-W08",0,0,0,0,0,0,0,0,0,0,0
"2013-W09",0,0,0,0,0,0,0,0,0,0,0
"2013-W10",0,0,0,0,0,0,0,0,0,0,0
"2013-W11",0,0,1,0,0,0,0,0,0,1,0
"2013-W12",0,2,0,1,0,0,0,0,0,0,0
"2013-W13",0,0,0,0,0,0,0,0,0,0,0
"2013-W14",0,1,1,0,0,0,0,0,0,0,0
"2013-W15",0,1,0,0,0,0,0,0,0,0,0
"2013-W16",0,0,0,0,0,0,0,0,0,0,0
"2013-W17",0,0,1,0,0,0,0,0,0,0,0
"2013-W18",0,0,1,0,0,0,0,0,0,0,0
"2013-W19",0,0,0,0,0,0,0,0,0,0,0
"2013-W20",0,0,0,0,0,0,0,0,0,0,0
"2013-W21",0,2,1,0,0,0,0,0,0,0,0
"2013-W22",0,1,0,0,0,0,0,0,0,0,0
"2013-W23",0,1,2,1,0,0,0,0,0,0,0
"2013-W24",0,1,2,0,1,0,0,0,0,0,0
"2013-W25",0,0,0,0,0,0,0,0,0,0,0
"2013-W26",0,0,0,0,0,0,0,0,0,0,0
"2013-W27",0,0,0,0,0,0,0,0,0,0,0
"2013-W28",0,0,0,0,0,0,0,0,0,0,0
"2013-W29",0,0,1,0,0,0,0,0,0,0,0
"2013-W30",0,0,0,0,0,1,0,1,0,0,0
"2013-W31",1,0,1,0,0,0,0,0,0,0,0
"2013-W32",0,0,0,0,0,0,0,0,1,0,0
"2013-W33",0,0,2,0,1,0,0,0,1,0,0
"2013-W34",0,0,0,1,0,0,0,0,0,0,0
"2013-W35",0,0,1,0,0,2,0,0,0,0,0
"2013-W36",0,3,0,1,0,0,0,0,0,0,0
"2013-W37",0,1,1,0,0,0,0,0,0,0,0
"2013-W38",0,2,1,0,0,0,0,0,0,0,0
"2013-W39",1,0,1,0,0,0,0,0,0,0,0
"2013-W40",0,1,2,0,0,0,0,0,0,0,0
"2013-W41",0,1,1,1,0,0,0,0,0,0,0
"2013-W42",0,1,0,0,1,0,0,0,0,0,0
"2013-W43",0,0,0,0,0,0,0,0,0,0,0
"2013-W44",0,0,0,0,0,0,0,0,0,0,0
"2013-W45",0,1,0,0,0,0,0,0,0,0,0
"2013-W46",0,1,0,0,0,0,0,0,0,0,0
"2013-W47",0,0,1,0,0,0,0,0,0,0,0
"2013-W48",0,2,1,0,1,0,0,0,0,0,0
"2013-W49",0,0,2,0,1,0,0,0,0,0,0
"2013-W50",1,0,1,0,0,0,0,0,0,0,0
"2013-W51",0,0,0,0,0,0,0,0,0,0,0
"2013-W52",0,0,0,0,0,0,0,0,0,0,0
